,Ax1,Ay1,Az1
0,-0.881592,-0.416504,-0.218262
1,-0.874756,-0.409668,-0.230469
2,-0.859863,-0.442139,-0.230957
3,-0.871826,-0.423584,-0.185791
4,-0.895508,-0.384033,-0.210449
5,-0.875,-0.416748,-0.223389
6,-0.881104,-0.411621,-0.216553
7,-0.875732,-0.424316,-0.213379
8,-0.8396,-0.396973,-0.202393
9,-0.87085,-0.421387,-0.209717
10,-0.871582,-0.415283,-0.210938
11,-0.875244,-0.412109,-0.211182
12,-0.883789,-0.41333,-0.191895
13,-0.61084,-0.328369,-0.220215
14,-1.292725,-0.664063,-0.157715
15,-0.795166,-2.0,-1.799316
16,0.154053,-0.074707,0.15332
17,-1.274658,-1.016357,-0.169922
18,-0.672119,-0.472656,-0.282471
19,-0.744141,-0.531494,-0.216064
20,-0.81958,-0.563965,-0.194092
21,-0.832275,-0.491943,-0.226074
22,-0.833008,-0.530273,-0.2229
23,-0.833984,-0.515137,-0.205811
24,-0.824219,-0.500977,-0.216064
