,Ax1,Ay1,Az1
10,0.541992,-0.286865,0.728516
11,0.544678,-0.265381,0.776367
12,0.567139,-0.252441,0.744629
13,0.616943,-0.277588,0.787109
14,0.599365,-0.263916,0.761963
15,0.571045,-0.246826,0.758057
16,0.606689,-0.251221,0.788574
17,0.607178,-0.284912,0.781494
18,0.599854,-0.255615,0.783936
19,0.614258,-0.269531,0.768066
20,0.57959,-0.244385,0.766846
21,0.5354,-0.21582,0.691406
22,0.393799,-0.152344,0.504639
23,1.590332,-0.492432,1.848633
24,-0.409668,0.127441,-0.486816
25,0.250977,-0.148193,0.130615
26,1.012695,-0.484375,1.127197
27,0.586426,-0.262207,0.737549
28,0.554443,-0.202637,0.656494
29,0.600586,-0.221436,0.711426
30,0.576904,-0.248535,0.785645
31,0.609619,-0.229004,0.76416
32,0.583984,-0.2229,0.762451
33,0.554688,-0.244141,0.768555
34,0.545166,-0.228271,0.788818
35,0.547852,-0.222656,0.793457
36,0.546387,-0.243652,0.788574
