,Ax1,Ay1,Az1
8328,-0.97559,-0.08398,-0.04175
8329,-0.97144,-0.0896,-0.05933
8330,-0.95654,-0.11621,-0.03491
8331,-0.95215,-0.13648,-0.04004
8332,-0.94385,-0.10523,-0.03296
8333,-1.0027,-0.15137,-0.04614
8334,-0.96313,-0.04614,-0.05762
8335,-0.94238,-0.0835,-0.0874
8336,-0.92261,-0.16724,-0.1391599999999999
8337,-0.9563,-0.23633,-0.13867
8338,-0.91675,-0.2627,-0.15845
8339,-0.91821,-0.30029,-0.13965
8340,-0.93872,-0.29614,-0.14087
8341,-0.93774,-0.25952,-0.11987
8342,-0.94385,-0.13355,-0.03442
8343,-0.95727,-0.11231,-0.09985
8344,-0.948,-0.11548,-0.09936
8345,-0.95776,-0.11768,-0.09082
8346,-0.94238,-0.1582,-0.13013
8347,-0.95142,-0.16992,-0.13135
8348,-0.95215,-0.1709,-0.12476
8349,-0.9541,-0.1604,-0.11743
8350,-0.95679,-0.12402,-0.11206
8351,-0.96265,-0.0778799999999999,-0.06519
8352,-0.9541,-0.05542,-0.06787
